date,time,last_row
2022-06-07,2022-06-07 18:55:54,13400
2022-06-08,2022-06-08 18:45:41,14601
2022-06-09,2022-06-09 18:19:55,15801
2022-06-10,2022-06-10 17:53:26,17001
2022-06-10,2022-06-10 19:12:00,1,
2022-06-11,2022-06-11 12:25:00,5601,
2022-06-15,2022-06-15 18:09:33,10182,
2022-06-16,2022-06-16 18:11:34,12982,
2022-06-17,2022-06-17 17:35:22,15782,
2022-06-18,2022-06-18 18:07:27,18582,
2022-06-20,2022-06-20 17:41:10,21382,
2022-06-21,2022-06-21 17:44:07,22982,
2022-06-22,2022-06-22 17:41:55,24182,
2022-06-23,2022-06-23 18:30:50,25782,
2022-06-24,2022-06-24 18:53:27,27382,
2022-06-27,2022-06-27 17:33:21,28982,
2022-06-28,2022-06-28 18:40:38,30582,
2022-06-29,2022-06-29 17:55:54,32182,
2022-06-30,2022-06-30 19:11:08,33782,
2022-07-01,2022-07-01 17:30:03,35382,
2022-07-04,2022-07-04 17:43:31,38982,
2022-07-05,2022-07-05 18:43:31,40982,
2022-07-06,2022-07-06 18:43:31,42982,
2022-07-07,2022-07-07 18:43:31,44982,
